epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,1683.77,0.91831,0.65721,1.1016,0.73253,0.68242,0.75395,0.43096,1.36134,0.96064,1.47653,0.0003532,0.0003532,0.0003532
100,1701.97,0.89348,0.66412,1.07795,0.75155,0.62186,0.7069,0.3894,1.52929,1.03893,1.55332,0.0003466,0.0003466,0.0003466
101,1720.31,0.88943,0.64098,1.08882,0.759,0.65436,0.73799,0.42324,1.3949,0.97609,1.48245,0.00034,0.00034,0.00034
102,1738.48,0.87317,0.63253,1.07847,0.76602,0.64993,0.73307,0.42646,1.35289,0.9955,1.44809,0.0003334,0.0003334,0.0003334
103,1756.46,0.88284,0.63639,1.08272,0.72035,0.6925,0.74004,0.42355,1.46021,0.99221,1.50886,0.0003268,0.0003268,0.0003268
104,1773.39,0.89623,0.63798,1.0935,0.73561,0.69424,0.7436,0.43033,1.36978,0.89709,1.45805,0.0003202,0.0003202,0.0003202
105,1790.89,0.8656,0.62928,1.08188,0.73072,0.6839,0.75637,0.42874,1.40836,0.88182,1.47861,0.0003136,0.0003136,0.0003136
106,1808.29,0.87525,0.63943,1.09044,0.75488,0.65879,0.75334,0.43538,1.37027,0.8969,1.46219,0.000307,0.000307,0.000307
107,1825.27,0.85044,0.60806,1.07428,0.70925,0.67504,0.7298,0.40479,1.51841,1.01902,1.54822,0.0003004,0.0003004,0.0003004
108,1843.15,0.87086,0.60913,1.07512,0.76717,0.67208,0.76075,0.42706,1.43692,0.9522,1.49687,0.0002938,0.0002938,0.0002938
109,1859.72,0.84265,0.62502,1.07158,0.76703,0.65169,0.74235,0.41941,1.41057,0.96972,1.49263,0.0002872,0.0002872,0.0002872
110,1876.02,0.84287,0.62603,1.07063,0.76266,0.66927,0.75777,0.42854,1.41492,0.95425,1.47945,0.0002806,0.0002806,0.0002806
111,1892.42,0.82792,0.58568,1.05387,0.76124,0.68285,0.7577,0.43947,1.34597,0.89129,1.44101,0.000274,0.000274,0.000274
112,1909.49,0.85308,0.61196,1.06327,0.79797,0.64254,0.74675,0.42882,1.36456,0.93082,1.45848,0.0002674,0.0002674,0.0002674
113,1926.02,0.85048,0.60275,1.06811,0.80553,0.65731,0.74964,0.43133,1.41136,0.91834,1.48467,0.0002608,0.0002608,0.0002608
114,1942.89,0.83195,0.58196,1.05303,0.76585,0.66174,0.76019,0.43512,1.42158,0.92177,1.47873,0.0002542,0.0002542,0.0002542
115,1960,0.86375,0.60476,1.07848,0.76389,0.6356,0.72995,0.40594,1.43229,0.95848,1.49897,0.0002476,0.0002476,0.0002476
116,1976.99,0.85899,0.6125,1.07331,0.78983,0.65288,0.74957,0.42297,1.3979,0.90498,1.47205,0.000241,0.000241,0.000241
117,1994.75,0.80392,0.57382,1.04569,0.77932,0.65436,0.74523,0.41421,1.47734,0.94277,1.53299,0.0002344,0.0002344,0.0002344
118,2011.73,0.8419,0.59823,1.06209,0.75941,0.65741,0.74774,0.43436,1.35644,0.93903,1.47642,0.0002278,0.0002278,0.0002278
119,2028.78,0.81497,0.57712,1.05083,0.7878,0.65288,0.75009,0.42708,1.43348,0.91419,1.50557,0.0002212,0.0002212,0.0002212
120,2046.36,0.8553,0.59026,1.07516,0.79343,0.67208,0.76009,0.43577,1.36259,0.86982,1.46882,0.0002146,0.0002146,0.0002146
121,2062.87,0.8056,0.57206,1.04127,0.74533,0.68833,0.74329,0.41892,1.40183,0.91806,1.49251,0.000208,0.000208,0.000208
122,2079.41,0.79411,0.5765,1.03843,0.81597,0.63529,0.74217,0.40938,1.49388,0.97157,1.5231,0.0002014,0.0002014,0.0002014
